SA,726,0.117,0.118,22.678,0.188
GA,726,0.117,0.118,2202.590,0.229
RHC,736,0.117,0.118,24.302,0.248
SA,736,0.883,0.882,21.121,0.119
GA,736,0.117,0.118,2275.137,0.187
RHC,746,0.117,0.118,22.669,0.306
SA,746,0.863,0.861,22.896,0.240
GA,746,0.117,0.118,2399.085,0.154
RHC,731,0.117,0.118,22.346,0.234
SA,731,0.559,0.556,23.095,0.226
GA,731,0.117,0.118,2433.575,0.157
RHC,741,0.117,0.118,25.055,0.239
SA,741,0.207,0.204,23.401,0.175
GA,741,0.117,0.118,2438.353,0.129
RHC,776,0.117,0.118,35.791,0.358
SA,776,0.883,0.882,36.145,0.213
GA,776,0.117,0.118,2295.451,0.116
RHC,771,0.117,0.118,37.544,0.331
SA,771,0.394,0.394,33.531,0.189
GA,771,0.117,0.118,2356.227,0.135
RHC,786,0.117,0.118,37.253,0.417
SA,786,0.117,0.118,39.664,0.244
GA,786,0.117,0.118,2358.487,0.086
RHC,766,0.117,0.118,36.676,0.305
SA,766,0.854,0.852,40.041,0.180
GA,766,0.117,0.118,2381.808,0.077
RHC,761,0.117,0.118,34.782,0.361
SA,761,0.883,0.882,34.631,0.184
GA,761,0.117,0.118,2392.100,0.060
RHC,781,0.117,0.118,35.191,0.417
SA,781,0.117,0.118,38.109,0.207
GA,781,0.117,0.118,2393.465,0.055
RHC,791,0.117,0.118,40.553,0.352
SA,791,0.179,0.179,36.464,0.207
GA,791,0.117,0.118,2412.545,0.065
RHC,801,0.117,0.118,24.543,0.388
SA,801,0.720,0.720,23.393,0.260
GA,801,0.117,0.118,2355.286,0.103
RHC,811,0.117,0.118,24.325,0.438
SA,811,0.117,0.118,24.342,0.150
GA,811,0.117,0.118,2410.891,0.162
RHC,816,0.117,0.118,23.047,0.221
SA,816,0.883,0.882,26.223,0.193
GA,816,0.117,0.118,2422.821,0.083
RHC,821,0.117,0.118,24.471,0.401
SA,821,0.256,0.262,25.055,0.191
GA,821,0.117,0.118,2452.895,0.080
RHC,796,0.117,0.118,24.371,0.446
SA,796,0.117,0.118,23.650,0.194
GA,796,0.117,0.118,2460.559,0.065
RHC,806,0.117,0.118,23.309,0.290
SA,806,0.117,0.118,26.127,0.189
GA,806,0.117,0.118,2469.316,0.063
RHC,826,0.117,0.118,23.341,0.269
SA,826,0.117,0.118,25.058,0.160
GA,826,0.117,0.118,2543.487,0.054
RHC,846,0.117,0.118,26.770,0.261
SA,846,0.117,0.118,27.415,0.225
GA,846,0.117,0.118,2524.010,0.113
RHC,831,0.117,0.118,24.712,0.271
SA,831,0.117,0.118,26.293,0.195
GA,831,0.117,0.118,2530.105,0.112
RHC,861,0.117,0.118,27.488,0.269
SA,861,0.386,0.376,26.911,0.177
GA,861,0.117,0.118,2545.443,0.101
RHC,836,0.117,0.118,25.301,0.275
SA,836,0.117,0.118,27.641,0.131
GA,836,0.117,0.118,2629.910,0.218
RHC,851,0.117,0.118,27.031,0.279
SA,851,0.117,0.119,27.236,0.177
GA,851,0.117,0.118,2719.063,0.160
RHC,856,0.117,0.118,24.505,0.290
SA,856,0.117,0.118,25.787,0.146
GA,856,0.117,0.118,2755.915,0.138
RHC,841,0.117,0.118,25.341,0.296
SA,841,0.117,0.118,24.603,0.177
GA,841,0.117,0.118,2838.484,0.128
RHC,866,0.117,0.118,40.271,0.455
SA,866,0.125,0.126,40.389,0.186
GA,866,0.117,0.118,2584.212,0.117
RHC,891,0.117,0.118,43.099,0.393
SA,891,0.816,0.816,42.591,0.201
GA,891,0.117,0.118,2648.348,0.102
